month,Data Analyst,Business Analyst,Data Engineer,Data Scientist,Software Engineer
2023-01,23574,4829,21448,20821,5134
2023-02,16495,3481,15886,13905,3366
2023-03,16332,3410,16123,13536,3701
2023-04,15505,4234,14859,13610,4036
2023-05,13460,2426,13593,11699,1915
2023-06,15993,3415,15503,13600,2231
2023-07,16114,3859,14521,14130,3620
2023-08,18638,5206,15691,16973,5015
2023-09,14974,4426,14918,13602,3502
2023-10,16287,5024,15459,14189,4304
2023-11,15141,4755,15003,14184,4282
2023-12,13926,4111,13623,12315,3982
2024-01,12366,3088,14119,11529,2800
2024-02,12621,3304,14571,12396,2769
2024-03,11341,2901,13120,10093,2506
2024-04,10149,2508,11979,9295,2045
2024-05,10449,2499,12151,9560,2211
2024-06,9544,2272,11085,8875,2098
2024-07,11977,3020,13636,10459,2701
2024-08,11902,2882,12826,9515,2600
2024-09,7686,1925,8197,5715,1496
2024-10,4639,1183,5057,3814,958
2024-11,3691,1090,3852,2074,592
2024-12,9931,2053,8464,5774,1709
2025-01,20991,4464,15296,11531,3248
2025-02,23377,6018,17676,15609,5847
2025-03,19970,5081,15648,12686,5555
2025-04,11932,2697,9542,7514,3693
2025-05,11131,2489,9269,6597,2563
2025-06,8504,2517,8842,5402,1792
